"PA_ID","PA","Cluster","Current_Runoff_m3","SSP245_2050_With_Intervention_m3","SSP245_2050_Without_Intervention_m3","SSP245_2090_With_Intervention_m3","SSP245_2090_Without_Intervention_m3","SSP585_2050_With_Intervention_m3","SSP585_2050_Without_Intervention_m3","SSP585_2090_With_Intervention_m3","SSP585_2090_Without_Intervention_m3","Mean_With_Intervention_m3","Mean_Without_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
72,"Balyerwa","Cluster C — Kavango East, Kavango West & Zambezi",6971208.58912785,5253286.65600269,6573561.69815636,5283201.24856405,6607375.97957886,5340258.00228121,6682362.53393591,5104378.63081352,6383588.74335614,5245281.13441537,6561722.23875682,-1316441.10434145,-20.0624326425445
73,"Wuparo","Cluster C — Kavango East, Kavango West & Zambezi",5881869.88161587,4513472.2524442,5550792.00174727,4542500.53406279,5580392.20543507,4587282.43469595,5641515.13211266,4389030.91894321,5391764.44204135,4508071.53503654,5541115.94533409,-1033044.41029755,-18.6432556273692
74,"Dzoti","Cluster C — Kavango East, Kavango West & Zambezi",8984251.35728583,6922687.55418274,8486202.83381458,6969320.41756058,8536234.08982025,7037754.93041002,8627095.41374888,6731670.30767165,8244956.64644663,6915358.30245625,8473622.24595759,-1558263.94350134,-18.3895847403951
75,"Huibes","Cluster F —    //Karas,Hardap",14623487.0891224,11281969.7797279,14215453.8374762,10889979.0882465,13717334.923376,10848293.4574026,13670124.5514472,9633093.79109119,12135754.173611,10663334.0291171,13434666.8714776,-2771332.84236055,-20.6282215173062
76,"Kabulabula","Cluster C — Kavango East, Kavango West & Zambezi",3159111.82626075,2221036.81152592,3014122.53204803,2238354.14303833,3041194.26000758,2283718.56828172,3099190.17881403,2180237.76822202,2962238.93541986,2230836.822767,3029186.47657238,-798349.65380538,-26.3552495027886
77,"Okongoro","Cluster E — Kunene (North)",18177723.2630171,15019369.8645758,18369961.2555237,14337618.6954394,17533066.4921319,14384773.6421165,17593868.8949896,13893674.8180117,16990356.0241052,14408859.2550358,17621813.1666876,-3212953.91165176,-18.2328224755302
78,"Lusese","Cluster C — Kavango East, Kavango West & Zambezi",7683282.95519342,5517502.40721009,7249730.6650832,5572642.8430623,7320166.02420231,5667150.70687224,7446546.59257051,5427127.23631598,7129261.24433958,5546105.79836515,7286426.1315489,-1740320.33318375,-23.8844160602751
79,"Nakabolelwa","Cluster C — Kavango East, Kavango West & Zambezi",4092574.53215798,2875259.06248635,3896197.9713978,2896924.37620762,3930877.63401349,2952890.32167649,4001393.48189304,2820211.30742016,3826792.03988667,2886321.26694766,3913815.28179775,-1027494.0148501,-26.253002271945
80,"Ohungu","Cluster A — South, Kunene South & Erongo",12351771.0741763,9765860.40314827,12284860.7036984,9209547.0966061,11583983.1439743,9408552.11045215,11835176.9912822,8388362.79575707,10551156.8438412,9193080.6014909,11563794.420699,-2370713.81920812,-20.5011757642853
81,"Maurus Nekaro","Cluster C — Kavango East, Kavango West & Zambezi",36260394.2984611,30219680.4268696,35546489.2279259,29993648.4727347,35267391.1296642,29744508.4042704,35093506.51247,29033747.1107445,34230949.4902381,29747896.1036548,35034584.0900745,-5286687.98641972,-15.0899122216709
82,"Kapinga kaMwalye","Cluster C — Kavango East, Kavango West & Zambezi",40474711.8329566,33747706.5135995,39523195.2962679,33559900.5232829,39285408.757507,33340303.0556856,39152899.0408075,32300418.8024103,37922718.1784904,33237082.2237446,38971055.3182682,-5733973.0945236,-14.7134149888821
83,"Otjindjerese","Cluster E — Kunene (North)",13772954.7928714,11324274.4394133,13932168.4395136,10787659.1793252,13272756.1582856,10868011.2098898,13370797.0673207,10522042.6365019,12946018.7556788,10875496.8662826,13380435.1051997,-2504938.23891711,-18.7209027152165
84,"Nyae Nyae","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",229341783.533444,181135644.81522,225371201.757362,176880502.095943,220038265.654356,175177625.108244,217958515.439827,168774305.749633,209952101.326964,175492019.44226,218330021.044627,-42838001.6023671,-19.6207564115111
85,"Ekango Lyomongwa","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",33921957.9916914,28146848.7293744,34187828.200489,27356621.2919569,33217875.2985094,27052922.286157,32859484.6348969,26749636.5487683,32479961.0495632,27326507.2140641,33186287.2958646,-5859780.08180051,-17.6572330298927
86,"#Khoadi-//HÃ´as","Cluster E",45416191.3823967,35953046.1874961,45150780.3382859,33895628.7841289,42576383.1923068,34724555.9298922,43607347.226902,31590276.5778933,39687315.9308167,34040876.8698526,42755456.6720778,-8714579.80222524,-20.3823803568831
87,"Joseph Mbambangandu","Cluster C",1263597.31256904,1040483.03626775,1229103.81002803,1037728.06605211,1225064.21743849,1026910.63713616,1221431.22428606,993800.706691097,1182106.30517838,1024730.61153678,1214426.38923274,-189695.777695958,-15.6201956230386
88,"Impalila","Cluster C",2631701.88035464,1896698.54746958,2508178.47799621,1912137.82397115,2530869.68871358,1952240.60839048,2581638.79181686,1864076.74401077,2467286.15750846,1906288.43096049,2521993.27900878,-615704.848048282,-24.4134214461616
89,"Kasika","Cluster C",5356882.91918051,3733988.10549641,5081552.18667219,3762650.76669468,5126952.78331287,3841938.60123156,5228461.88772788,3667366.28768252,4997124.60255717,3751485.94027629,5108522.86506753,-1357036.92479123,-26.564174432315
90,"!Gawachab","Cluster F",779892.742356685,638549.847876938,737059.179839798,610154.007710275,704292.618608408,603838.913045378,696990.332009053,526657.667683203,607922.493570225,594800.109078949,686566.156006871,-91766.0469279224,-13.3659438533414
