"species","feeding_group","habitat_profile","body_mass_kg","annual_demand_kg","species_usable_forage_kg","carrying_capacity_raw","capacity_method","estimate_status","total_area_ha","missing_area_ha","missing_area_pct","spatial_unit","unit_id","unit","climate_scenario","management_scenario","scenario_id","current_capacity_raw","capacity_change_from_current_raw","capacity_change_from_current_pct","carrying_capacity_animals","capacity_change_from_current_animals"
"Black rhinoceros","Browser","Shrub_Browser",1000,9125,1422654371.30967,155907.328362704,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",155907.328362704,0,0,155907,0
"Black-backed Jackal","Carnivore","Carnivore",8.5,,,,"Prey biomass required - not estimated from forage","Not estimated: requires local preferred-prey biomass/density data",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",,,,,
"Black-faced Impala","Mixed","Mixed_Open",50,456.25,960979463.888899,2106256.35920855,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",2106256.35920855,0,0,2106256,0
"Blue wildebeest","Grazer","General_Grazer",220,2007.5,547962312.761528,272957.565510101,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",272957.565510101,0,0,272958,0
"Buffalo","Grazer","General_Grazer",500,4562.5,547962312.761528,120101.328824444,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",120101.328824444,0,0,120101,0
"Burchell's zebra","Grazer","General_Grazer",320,2920,547962312.761528,187658.326288194,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",187658.326288194,0,0,187658,0
"Bushpig","Omnivore","Omnivore",60,547.5,726434292.125253,1326820.62488631,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",1326820.62488631,0,0,1326821,0
"Cheetah","Carnivore","Carnivore",45,,,,"Prey biomass required - not estimated from forage","Not estimated: requires local preferred-prey biomass/density data",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",,,,,
"Damara dik dik","Browser","Shrub_Browser",5,45.625,1422654371.30967,31181465.6725408,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",31181465.6725408,0,0,31181466,0
"Duiker","Browser","Woodland_Browser",17.5,159.6875,1212024065.2855,7589974.57713032,"Forage-limited potential carrying capacity","Estimated",5946321.81049356,10245.6165617956,0.172301750364654,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Current",7589974.57713032,0,0,7589975,0
