"spatial_unit","unit_id","unit","species","feeding_group","habitat_profile","climate_scenario","Without_Intervention","With_Intervention","intervention_benefit_raw","intervention_benefit_pct","without_intervention_animals","with_intervention_animals","intervention_benefit_animals"
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Vervet monkey","Omnivore","Omnivore","SSP245_2050",15251630.7635093,15251658.401496,27.6379866916686,0.000181213321514409,15251631,15251658,28
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Warthog","Grazer","General_Grazer","SSP245_2050",789984.261681804,2524704.40510487,1734720.14342307,219.589202920323,789984,2524704,1734720
"Cluster","Cluster_4","Cluster E — Kunene (North)","Baboon","Omnivore","Omnivore","SSP245_2050",1513588.98367883,2043215.87350488,529626.88982605,34.9914603988973,1513589,2043216,529627
"Cluster","Cluster_4","Cluster E — Kunene (North)","Black rhinoceros","Browser","Shrub_Browser","SSP245_2050",69102.3245523753,48158.9217788325,-20943.4027735428,-30.3078122323786,69102,48159,-20943
"Cluster","Cluster_4","Cluster E — Kunene (North)","Black-backed Jackal","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Cluster","Cluster_4","Cluster E — Kunene (North)","Black-faced Impala","Mixed","Mixed_Open","SSP245_2050",998811.413062144,1966865.79727091,968054.384208764,96.9206370240519,998811,1966866,968054
"Cluster","Cluster_4","Cluster E — Kunene (North)","Blue wildebeest","Grazer","General_Grazer","SSP245_2050",145004.746766797,501615.228057924,356610.481291127,245.930212108604,145005,501615,356610
"Cluster","Cluster_4","Cluster E — Kunene (North)","Buffalo","Grazer","General_Grazer","SSP245_2050",63802.0885773905,220710.700345486,156908.611768096,245.930212108604,63802,220711,156909
"Cluster","Cluster_4","Cluster E — Kunene (North)","Burchell's zebra","Grazer","General_Grazer","SSP245_2050",99690.7634021726,344860.469289823,245169.70588765,245.930212108604,99691,344860,245170
"Cluster","Cluster_4","Cluster E — Kunene (North)","Bushpig","Omnivore","Omnivore","SSP245_2050",605435.593471532,817286.349401951,211850.75593042,34.9914603988973,605436,817286,211851
"Cluster","Cluster_4","Cluster E — Kunene (North)","Cheetah","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Cluster","Cluster_4","Cluster E — Kunene (North)","Damara dik dik","Browser","Shrub_Browser","SSP245_2050",13820464.9104751,9631784.35576651,-4188680.55470856,-30.3078122323786,13820465,9631784,-4188681
"Cluster","Cluster_4","Cluster E — Kunene (North)","Duiker","Browser","Woodland_Browser","SSP245_2050",3250954.60539498,2166752.85937144,-1084201.74602355,-33.3502579280654,3250955,2166753,-1084202
"Cluster","Cluster_4","Cluster E — Kunene (North)","Eland","Mixed","Mixed_Open","SSP245_2050",99881.1413062144,196686.579727091,96805.4384208764,96.9206370240519,99881,196687,96805
"Cluster","Cluster_4","Cluster E — Kunene (North)","Elephant","Mixed","Large_Mixed","SSP245_2050",15818.8295330836,21847.4772661416,6028.64773305796,38.1105803084204,15819,21847,6029
"Cluster","Cluster_4","Cluster E — Kunene (North)","Gemsbok","Mixed","Arid_Mixed","SSP245_2050",253028.479686165,454663.201831146,201634.722144981,79.6885482594966,253028,454663,201635
"Cluster","Cluster_4","Cluster E — Kunene (North)","Giraffe","Browser","Woodland_Browser","SSP245_2050",66931.4183463673,44609.6176929413,-22321.800653426,-33.3502579280654,66931,44610,-22322
"Cluster","Cluster_4","Cluster E — Kunene (North)","Hartmann's zebra","Grazer","Arid_Grazer","SSP245_2050",148514.554351397,359236.248011677,210721.69366028,141.886224269775,148515,359236,210722
"Cluster","Cluster_4","Cluster E — Kunene (North)","Hippopotamus","Grazer","Wetland_Grazer","SSP245_2050",6905.94846178254,33972.9587309466,27067.0102691641,391.937623325061,6906,33973,27067
"Cluster","Cluster_4","Cluster E — Kunene (North)","Impala","Mixed","Mixed_Open","SSP245_2050",998811.413062144,1966865.79727091,968054.384208764,96.9206370240519,998811,1966866,968054
"Cluster","Cluster_4","Cluster E — Kunene (North)","Klipspringer","Browser","Rocky_Browser","SSP245_2050",5163313.16561851,3554260.29505313,-1609052.87056539,-31.1631857095121,5163313,3554260,-1609053
"Cluster","Cluster_4","Cluster E — Kunene (North)","Kudu","Browser","Woodland_Browser","SSP245_2050",299430.029444275,199569.342310527,-99860.6871337478,-33.3502579280654,299430,199569,-99861
"Cluster","Cluster_4","Cluster E — Kunene (North)","Leopard","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Cluster","Cluster_4","Cluster E — Kunene (North)","Ostrich","Mixed","Mixed_Open","SSP245_2050",499405.706531072,983432.898635454,484027.192104382,96.9206370240519,499406,983433,484027
"Cluster","Cluster_4","Cluster E — Kunene (North)","Red Hartebeest","Grazer","General_Grazer","SSP245_2050",212673.628591302,735702.334484955,523028.705893653,245.930212108604,212674,735702,523029
"Cluster","Cluster_4","Cluster E — Kunene (North)","Red Lechwe","Grazer","Wetland_Grazer","SSP245_2050",120854.098081194,594526.777791566,473672.679710371,391.937623325061,120854,594527,473673
"Cluster","Cluster_4","Cluster E — Kunene (North)","Reedbuck","Grazer","Wetland_Grazer","SSP245_2050",214851.729922123,1056936.49385167,842084.763929549,391.937623325061,214852,1056936,842085
"Cluster","Cluster_4","Cluster E — Kunene (North)","Roan","Grazer","General_Grazer","SSP245_2050",132921.017869563,459813.959053097,326892.941183533,245.930212108604,132921,459814,326893
"Cluster","Cluster_4","Cluster E — Kunene (North)","Sable","Grazer","General_Grazer","SSP245_2050",159505.221443476,551776.750863716,392271.52942024,245.930212108604,159505,551777,392272
"Cluster","Cluster_4","Cluster E — Kunene (North)","Spotted Hyaena","Carnivore","Carnivore","SSP245_2050",,,,,,,
"Cluster","Cluster_4","Cluster E — Kunene (North)","Springbok","Grazer","Arid_Grazer","SSP245_2050",1094317.76890503,2647003.93271762,1552686.16381259,141.886224269775,1094318,2647004,1552686
"Cluster","Cluster_4","Cluster E — Kunene (North)","Steenbok","Browser","Shrub_Browser","SSP245_2050",6910232.45523753,4815892.17788325,-2094340.27735428,-30.3078122323786,6910232,4815892,-2094340
"Cluster","Cluster_4","Cluster E — Kunene (North)","Vervet monkey","Omnivore","Omnivore","SSP245_2050",7265227.12165838,9807436.19282342,2542209.07116504,34.9914603988973,7265227,9807436,2542209
"Cluster","Cluster_4","Cluster E — Kunene (North)","Warthog","Grazer","General_Grazer","SSP245_2050",455729.204124218,1576505.00246776,1120775.79834354,245.930212108604,455729,1576505,1120776
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Baboon","Omnivore","Omnivore","SSP245_2050",766075.324762411,767200.04607111,1124.72130869911,0.14681602087209,766075,767200,1125
