"spatial_unit","unit_id","unit","species","feeding_regime","forage_profile","climate_scenario","Without_Intervention","With_Intervention","intervention_benefit_raw","intervention_benefit_pct","without_intervention_animals","with_intervention_animals","intervention_benefit_animals"
"Conservancy","Conservancy_28","N#a Jaqna","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",496901.597476715,432836.839760719,-64064.757715996,-12.8928459963339,496902,432837,-64065
"Conservancy","Conservancy_28","N#a Jaqna","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",87794.3545055404,231741.230878907,143946.876373367,163.959148836026,87794,231741,143947
"Conservancy","Conservancy_29","!Han /Awab","Cattle","Grazer","Cattle_Grazer","SSP245_2050",13845.4043542876,14757.6475689803,912.243214692657,6.5887798676689,13845,14758,912
"Conservancy","Conservancy_29","!Han /Awab","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",104977.413344674,111627.136695279,6649.72335060471,6.33443246384016,104977,111627,6650
"Conservancy","Conservancy_29","!Han /Awab","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",70094.0352771165,73689.0843451503,3595.04906803381,5.1288944256395,70094,73689,3595
"Conservancy","Conservancy_29","!Han /Awab","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",46256.7257542273,49122.0663342163,2865.34057998899,6.19443017911213,46257,49122,2865
"Conservancy","Conservancy_30","!Khob !naub","Cattle","Grazer","Cattle_Grazer","SSP245_2050",4297.1159913568,9384.82613392504,5087.71014256825,118.398250193889,4297,9385,5088
"Conservancy","Conservancy_30","!Khob !naub","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",35572.01385866,73019.2229857295,37447.2091270695,105.271546547408,35572,73019,37447
"Conservancy","Conservancy_30","!Khob !naub","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",33147.8788934022,54596.3000293704,21448.4211359682,64.7052597390697,33148,54596,21448
"Conservancy","Conservancy_30","!Khob !naub","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",17327.5724352663,33342.3899283487,16014.8174930824,92.4238958048611,17328,33342,16015
"Conservancy","Conservancy_31","Anabeb","Cattle","Grazer","Cattle_Grazer","SSP245_2050",1479.25637531006,5089.35212670394,3610.09575139388,244.048010314451,1479,5089,3610
"Conservancy","Conservancy_31","Anabeb","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",17596.1389025312,42642.5801307413,25046.44122821,142.340551907141,17596,42643,25046
"Conservancy","Conservancy_31","Anabeb","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",32095.3292862883,41403.3315471555,9308.00226086727,29.001111588046,32095,41403,9308
"Conservancy","Conservancy_31","Anabeb","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",7324.48288156536,18542.701649001,11218.2187674356,153.160556845183,7324,18543,11218
"Conservancy","Conservancy_32","Ozondundu","Cattle","Grazer","Cattle_Grazer","SSP245_2050",1700.28892521136,3572.09528603913,1871.80636082777,110.087546479495,1700,3572,1872
"Conservancy","Conservancy_32","Ozondundu","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",21161.3900678088,32255.3756352686,11093.9855674598,52.4255993198489,21161,32255,11094
"Conservancy","Conservancy_32","Ozondundu","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",40612.8818089761,38103.91752135,-2508.96428762611,-6.17775487941755,40613,38104,-2509
"Conservancy","Conservancy_32","Ozondundu","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",7125.61212072473,12761.691317566,5636.07919684124,79.0960706442159,7126,12762,5636
"Conservancy","Conservancy_33","Sesfontein","Cattle","Grazer","Cattle_Grazer","SSP245_2050",767.587247166136,6680.74890088523,5913.16165371909,770.356943207429,768,6681,5913
"Conservancy","Conservancy_33","Sesfontein","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",9947.64486229477,53312.204483387,43364.5596210922,435.927902748718,9948,53312,43365
"Conservancy","Conservancy_33","Sesfontein","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",19649.2806575253,43964.2235129176,24314.9428553924,123.744697219133,19649,43964,24315
"Conservancy","Conservancy_33","Sesfontein","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",6138.5804886006,24736.6177033246,18598.037214724,302.96967269975,6139,24737,18598
"Conservancy","Conservancy_34","George Mukoya","Cattle","Grazer","Cattle_Grazer","SSP245_2050",1066.05575109837,1598.06241760568,532.006666507305,49.9042067883571,1066,1598,532
"Conservancy","Conservancy_34","George Mukoya","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",13326.1959653057,16451.3744344208,3125.17846911516,23.4513921095823,13326,16451,3125
"Conservancy","Conservancy_34","George Mukoya","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",26036.4004441409,25271.2290395443,-765.171404596622,-2.93885249705787,26036,25271,-765
"Conservancy","Conservancy_34","George Mukoya","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",4458.27342256016,6051.93962180916,1593.666199249,35.7462642642012,4458,6052,1594
"Conservancy","Conservancy_35","Muduva Nyangana","Cattle","Grazer","Cattle_Grazer","SSP245_2050",1397.18174211362,2003.24152345585,606.059781342221,43.3773046894663,1397,2003,606
"Conservancy","Conservancy_35","Muduva Nyangana","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",17270.5606402918,20677.6197838991,3407.05914360732,19.7275538100294,17271,20678,3407
"Conservancy","Conservancy_35","Muduva Nyangana","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",33019.5301347784,31862.7199749048,-1156.81015987352,-3.50341193575948,33020,31863,-1157
"Conservancy","Conservancy_35","Muduva Nyangana","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",5827.52694045021,7597.98191376435,1770.45497331414,30.3808972726493,5828,7598,1770
